행정구역,2020년08월_거주자_총인구수,2020년08월_거주자_연령구간인구수,동사무소 주소,X,Y,,,,
대구광역시 남구 이천동(2720051500),"12,287",547,대구광역시 남구 이천로 28길 18,128.599446,35.8537053,,,,
대구광역시 남구 봉덕1동(2720053000),"9,123",280,대구광역시 남구 봉덕로 51-2,128.5964482,35.845311,,,,
대구광역시 남구 봉덕2동(2720054000),"10,673",475,대구광역시 남구 이천로 10길 50,128.6011308,35.8438374,,,,
대구광역시 남구 봉덕3동(2720055000),"16,979",787,대구광역시 남구 중앙대로 22길 100,128.5959628,35.8424354,,,,
대구광역시 남구 대명1동(2720056000),"11,540",422,대구광역시 남구 두류공원로 38,128.5735803,35.8417305,,,,
대구광역시 남구 대명2동(2720057100),"11,092",416,대구광역시 남구 명덕로 32길 30,128.5864555,35.8552846,,,,
대구광역시 남구 대명3동(2720058600),"11,006",394,대구광역시 남구 명덕로 20길 115,128.5791382,35.8523781,,,,
대구광역시 남구 대명4동(2720059000),"11,135",390,대구광역시 남구 두류공원로 20길 19,128.569528,35.8459643,,,,
대구광역시 남구 대명5동(2720060000),"7,944",289,대구광역시 남구 대명로 58길 11,128.5878291,35.8432344,,,,
대구광역시 남구 대명6동(2720061000),"9,651",337,대구광역시 남구 대명남로 73,128.5660959,35.8351701,,,,
대구광역시 남구 대명9동(2720064000),"15,836",538,대구광역시 남구 큰골길 53,128.5793193,35.8372414,,,,
대구광역시 남구 대명10동(2720065000),"9,348",298,대구광역시 남구 대명복개로 4길 166,128.5689806,35.8399975,,,,
대구광역시 남구 대명11동(2720066000),"8,446",275,대구광역시 남구 관문시장 4길 53,128.5608464,35.8363294,,,,
대구광역시 북구 고성동(2723051000),"5,028",210,대구광역시 북구 고성로 31길 21,128.5835861,35.881909,,,,
대구광역시 북구 칠성동(2723052600),"23,211","1,016",대구광역시 북구 칠성로 19길 4,128.5999727,35.879228,,,,
대구광역시 북구 침산1동(2723055000),"4,212",142,대구광역시 북구 침산남로 13길 16,128.5812786,35.8903277,,,,
대구광역시 북구 침산2동(2723056000),"19,491","1,061",대구광역시 북구 침산남로 195,128.596993,35.8872637,,,,
대구광역시 북구 침산3동(2723057000),"20,463","1,231",대구광역시 북구 성북로 55,128.5893493,35.8920297,,,,
대구광역시 북구 산격1동(2723061000),"9,538",301,대구광역시 북구 연암로 36길 6,128.5969796,35.9003895,,,,
대구광역시 북구 산격2동(2723062000),"11,250",548,대구광역시 북구 동북로 31길 30,128.6111596,35.9004363,,,,
대구광역시 북구 산격3동(2723063000),"9,005",311,대구광역시 북구 대학로 15길 16,128.6085246,35.8935456,,,,
대구광역시 북구 산격4동(2723063100),"8,583",289,대구광역시 북구 대구체육관로 48,128.604311,35.8922329,,,,
대구광역시 북구 대현동(2723064500),"18,448",655,대구광역시 북구 대현남로 25 대현휴먼시아 2단지,128.605249,35.881657,,,,
대구광역시 북구 복현1동(2723067100),"7,530",262,대구광역시 북구 동북로 52길 7,128.6185918,35.8937601,,,,
대구광역시 북구 복현2동(2723067200),"27,496","1,705",대구광역시 북구 복현로 8길 16-5,128.6254941,35.8953539,,,,
대구광역시 북구 검단동(2723068000),"6,838",250,대구광역시 북구 검단로 41길 12,128.6272256,35.9134756,,,,
대구광역시 북구 무태조야동(2723069500),"34,790","2,101",대구광역시 북구 호국로 43길 20,128.5971048,35.9213327,,,,
대구광역시 북구 관문동(2723071500),"37,401","1,497",대구광역시 북구 매천로 18길 34,128.5430417,35.9028168,,,,
대구광역시 북구 태전1동(2723072500),"22,355","1,059",대구광역시 북구 태전로 7길 10-24,128.5433323,35.9240928,,,,
대구광역시 북구 태전2동(2723073500),"25,121","1,469",대구광역시 북구 칠곡중앙대로 52길,128.5491114,35.9215406,,,,
대구광역시 북구 구암동(2723074500),"36,697","2,921",대구광역시 북구 구암서로 32,128.5660435,35.9389234,,,,
대구광역시 북구 관음동(2723075000),"17,189",961,대구광역시 북구 관음동로 125,128.5473329,35.9442414,,,,
대구광역시 북구 읍내동(2723077000),"27,096","1,487",대구광역시 북구 칠곡중앙대로 450,128.549123,35.9237136,,,,
대구광역시 북구 동천동(2723078000),"29,300","2,516",대구광역시 북구 대천로 81,128.5581853,35.937318,,,,
대구광역시 북구 노원동(2723079000),"12,086",378,대구광역시 북구 노원로 10길 166,128.5762308,35.8901384,,,,
대구광역시 북구 국우동(2723080000),"24,046","1,721",대구광역시 북구 구리로 188,128.5754049,35.9480155,,,,
대구광역시 수성구 범어1동(2726051000),"16,383","1,085",대구광역시 수성구 범어천로 97,128.6220664,35.8556301,,,,
대구광역시 수성구 범어2동(2726052000),"15,584",953,대구광역시 수성구 달구벌대로 489안길 47,128.6311081,35.8622815,,,,
대구광역시 수성구 범어3동(2726053000),"16,387","1,083",대구광역시 수성구 상록로 42,128.6241778,35.8632596,,,,
대구광역시 수성구 범어4동(2726054000),"18,916","1,891",대구광역시 수성구 범어로 20길 97,128.6412802,35.8581329,,,,
대구광역시 수성구 만촌1동(2726055000),"23,366","1,335",대구광역시 수성구 국채보상로 1001,128.6373666,35.8675196,,,,
대구광역시 수성구 만촌2동(2726056000),"11,505",752,대구광역시 수성구 무열로 12,128.6472322,35.8598667,,,,
대구광역시 수성구 만촌3동(2726056100),"20,481","2,047",대구광역시 수성구 교학로 2길 45,128.6505781,35.8555259,,,,
대구광역시 수성구 수성1가동(2726057000),"18,774","1,223",대구광역시 수성구 명덕로 73길 7,128.602278,35.8663254,,,,
대구광역시 수성구 수성2.3가동(2726058000),"12,200",850,대구광역시 수성구 명덕로 443-2,128.619027,35.8547435,,,,
대구광역시 수성구 수성4가동(2726059000),"15,223",863,대구광역시 수성구 들안로 67길 64,128.6166648,35.8626629,,,,
대구광역시 수성구 황금1동(2726060100),"24,419","2,234",대구광역시 수성구 청호로 57길 10,128.6381642,35.843988,,,,
대구광역시 수성구 황금2동(2726060200),"11,178",526,대구광역시 수성구 청수로 31길 45,128.6252321,35.8415612,,,,
대구광역시 수성구 중동(2726061000),"11,740",412,대구광역시 수성구 수성로 50길 38,128.6151041,35.8473837,,,,
대구광역시 수성구 상동(2726062000),"16,790",687,대구광역시 수성구 들안로 9길 56,128.6154835,35.8321593,,,,
대구광역시 수성구 파동(2726063000),"12,849",521,대구광역시 수성구 파동로 136,128.6152046,35.8155269,,,,
대구광역시 수성구 두산동(2726064000),"14,208",676,대구광역시 수성구 무학로 112,128.6209285,35.8292435,,,,
대구광역시 수성구 지산1동(2726065100),"22,722","1,193",대구광역시 수성구 지범로 21길16,128.6370564,35.8247805,,,,
대구광역시 수성구 지산2동(2726065200),"19,244","1,046",대구광역시 수성구 용학로 33길 9,128.6280502,35.823137,,,,
대구광역시 수성구 범물1동(2726066100),"11,773",467,대구광역시 수성구 범안로 76,128.6459853,35.8177909,,,,
대구광역시 수성구 범물2동(2726066200),"15,628",968,대구광역시 수성구 범안로 52,128.6434515,35.8175683,,,,
대구광역시 수성구 고산1동(2726067000),"31,752","2,610",대구광역시 수성구 달구벌대로 3260-2,128.7124229,35.8371318,,,,
대구광역시 수성구 고산2동(2726068000),"28,009","1,886",대구광역시 수성구 달구벌대로 3091,128.6951977,35.8435085,,,,
대구광역시 수성구 고산3동(2726069000),"34,437","2,383",대구광역시 수성구 고산로 152,128.7066132,35.8440476,,,,
대구광역시 달서구 성당동(2729051500),"24,262","1,091",대구광역시 달서구 야외음악당로 38,128.5529837,35.8405314,,,,
대구광역시 달서구 두류1.2동(2729053500),"14,682",429,대구광역시 달서구 성당로 51길 32,128.5722139,35.8556984,,,,
대구광역시 달서구 두류3동(2729055000),"8,638",334,대구광역시 달서구 야외음악당로 39길24,128.5554918,35.853712,,,,
대구광역시 달서구 감삼동(2729055500),"28,033","1,331",대구광역시 달서구 감삼북길 119-10,128.5422101,35.8510218,,,,
대구광역시 달서구 죽전동(2729056300),"14,548",615,대구광역시 달서구 와룡로 54길 28,128.5398201,35.855797,,,,
대구광역시 달서구 장기동(2729056800),"17,631",947,대구광역시 달서구 장기로 277,128.5299636,35.8433981,,,,
대구광역시 달서구 용산1동(2729057100),"31,915","2,071",대구광역시 달서구 용산로 212-7,128.5312386,35.8566419,,,,
대구광역시 달서구 용산2동(2729057200),"29,645","1,764",대구광역시 달서구 선원로 278,128.5230185,35.858431,,,,
대구광역시 달서구 이곡1동(2729057600),"23,709","1,564",대구광역시 달서구 달구벌대로 1309,128.5106752,35.8516557,,,,
대구광역시 달서구 이곡2동(2729057700),"16,747",824,대구광역시 달서구 계대동문로 77,128.5008392,35.8558089,,,,
대구광역시 달서구 신당동(2729058500),"31,849","1,573",대구광역시 달서구 선원로 60,128.4988484,35.8589763,,,,
대구광역시 달서구 본리동(2729059000),"21,713","1,047",대구광역시 달서구 당산로 37-14,128.5418345,35.8405655,,,,
대구광역시 달서구 월성1동(2729060100),"43,900","3,879",대구광역시 달서구 조암남로 97,128.5228739,35.8195332,,,,
대구광역시 달서구 월성2동(2729060200),"16,632",741,대구광역시 달서구 월성로 65,128.5283025,35.8309599,,,,
대구광역시 달서구 진천동(2729061500),"77,091","4,148",대구광역시 달서구 진천로 9길 33,128.5228247,35.8121712,,,,
