학원명,학원주소,Latitude,Longitude,가점척도,,,,,,,,,,,,,,,
한국공무원고시학원,"대구광역시 중구 중앙대로 394 , 2층, 3층, 6층 (남일동)",35.8682972,128.5939732,2,,,,,,,,,,,,,,,
정현속셈학원,"대구광역시 수성구 수성로14길 21 , 2층 (상동)",35.8322978,128.6123722,2,,,,,,,,,,,,,,,
해법수학플러스학원,대구광역시 수성구 달구벌대로625길 21   5번지 (시지동),35.8442169,128.7003204,2,,,,,,,,,,,,,,,
MV-FGA코리아보석학원,대구광역시 중구 공평로10길 60   외1필지 삼덕아이파크 2층 (삼덕동2가),35.8674364,128.6029446,2,,,,,,,,,,,,,,,
서울컴퓨터회계학원,"대구광역시 동구 아양로39길 6 , 3층 일부 (신암동)",35.886559,128.6347464,2,,,,,,,,,,,,,,,
시지정보처리학원,대구광역시 수성구 신매로19길 34   5층 (신매동),35.8393716,128.7078436,2,,,,,,,,,,,,,,,
헤럴드외국어학원,"대구광역시 중구 동성로5길 26 , 3층 301호 (삼덕동1가)",35.8675778,128.5959439,2,,,,,,,,,,,,,,,
센트럴1리딩클럽수성시지학원,"대구광역시 수성구 신매로19길 23-1 , 5층 (신매동)",35.83885,128.707642,2,,,,,,,,,,,,,,,
성균관학원,"대구광역시 동구 신암로 106-2(신암동), 4층 , (구주소:신암2동 1190-2, 4층) ",35.8791465,128.6103803,2,,,,,,,,,,,,,,,
성실음악학원,"대구광역시 중구 남산로7길 75 , 201호 (남산동)",35.8572664,128.5825917,2,,,,,,,,,,,,,,,
쥴리아드음악학원,대구광역시 수성구 고산로 121-21 (),35.8418802,128.7036561,2,,,,,,,,,,,,,,,
로잔무용학원,대구광역시 수성구 고산로18길 11 (),35.8391614,128.7058714,2,,,,,,,,,,,,,,,
고려e스쿨진명학원,"대구광역시 수성구 달구벌대로 3175 , 4층 (매호동)",35.8415384,128.7036808,2,,,,,,,,,,,,,,,
올패스(All-pass)학원,"대구광역시 수성구 수성로 412 , 119동 401호 (수성동4가,수성보성타운)",35.8626462,128.6153813,2,,,,,,,,,,,,,,,
A.P입시학원,대구광역시 수성구 지범로39길 21   2층 3층 (범물동),35.8207406,128.6423361,2,,,,,,,,,,,,,,,
신사고학원,대구광역시 수성구 청호로 297 황금동 4층,35.8439188,128.638467,2,,,,,,,,,,,,,,,
걸리버학원,"대구광역시 수성구 상록로 54 , 3층 (범어동)",35.86421,128.6242617,2,,,,,,,,,,,,,,,
에바다음악학원,대구광역시 동구 화랑로80길 8  146동 402호(방촌동 우방강촌마을),35.8761299,128.6660569,2,,,,,,,,,,,,,,,
영원한미소미술학원,"대구광역시 중구 중앙대로 267 , 2층, 3층 (남산동)",35.8574672,128.5903844,2,,,,,,,,,,,,,,,
범어예일외국어학원,"대구광역시 수성구 달구벌대로 2428 ,  4층 (범어동)",35.8585491,128.6414973,2,,,,,,,,,,,,,,,
시사SLS외국어학원,"대구광역시 중구 동성로 10-1 , 5층 (동성로3가)",35.8675865,128.5934536,2,,,,,,,,,,,,,,,
명문수플러스영수학원,대구광역시 수성구 시지로 50-3   1층 2층 (시지동),35.8394631,128.6936957,2,,,,,,,,,,,,,,,
예지원음악학원,대구광역시 수성구 교학로11길 46  301동 303호(만촌동 만촌우방타운상가),35.849245,128.654718,2,,,,,,,,,,,,,,,
제3미술학원,"대구광역시 중구 중앙대로 274 , 1층 일부 (남산동)",35.8577291,128.5913916,2,,,,,,,,,,,,,,,
수성초암아카데미학원,대구광역시 수성구 달구벌대로504길 32   1층 2층 (범어동),35.8557811,128.6382985,2,,,,,,,,,,,,,,,
지스쿨대구학원,"대구광역시 중구 국채보상로 582 , 4층 (남일동)",35.8706908,128.5943907,2,,,,,,,,,,,,,,,
수학세상영어세상학원,"대구광역시 수성구 동대구로 249 , 4층 (범어동)",35.8527309,128.6247806,2,,,,,,,,,,,,,,,
아벨수학학원,"대구광역시 수성구 지범로 204 , 5층 (범물동)",35.8200073,128.6409159,2,,,,,,,,,,,,,,,
새샘학원,"대구광역시 동구 팔공로31길 6-2 , 2층 (불로동)",35.9133083,128.6404887,2,,,,,,,,,,,,,,,
모짜르트피아노음악학원,대구광역시 동구 아양로 218 효목동 진로이스트타운 상가 301동 303-307,35.8845461,128.6374686,2,,,,,,,,,,,,,,,
하늘피아노음악학원,대구광역시 수성구 달구벌대로649길 22-1 (),35.8400135,128.7131537,2,,,,,,,,,,,,,,,
정음악학원,대구광역시 동구 화랑로80길 8   우방강촌마을상가 146동 206호 209호 (방촌동),35.8761299,128.6660569,2,,,,,,,,,,,,,,,
다인음악학원,대구광역시 동구 동촌로46길 17   2층 (방촌동),35.8802839,128.6638025,2,,,,,,,,,,,,,,,
좋은음악학원,"대구광역시 동구 방천로7길 73 , 2층 (지저동)",35.894984,128.6353442,2,,,,,,,,,,,,,,,
권문희미술학원,대구광역시 동구 화랑로80길 8  146동 301호(방촌동 우방강촌마을),35.8761299,128.6660569,2,,,,,,,,,,,,,,,
미대편입플러스학원,"대구광역시 중구 봉산문화1길 3 , 2층 (봉산동, 뜨란채고시텔)",35.8625003,128.5976665,2,,,,,,,,,,,,,,,
티케무용학원,대구광역시 수성구 명덕로 402 (),35.8542668,128.6139272,2,,,,,,,,,,,,,,,
대구스피치화술학원,"대구광역시 중구 중앙대로 394 , 11층 (남일동)",35.8682972,128.594001,2,,,,,,,,,,,,,,,
르네상스웹툰만화학원,대구광역시 중구 달구벌대로 2040 남산동,35.8612519,128.5871093,2,,,,,,,,,,,,,,,
노블외국어학원,대구광역시 수성구 지범로 59   7층 (지산동),35.8259285,128.6297478,2,,,,,,,,,,,,,,,
시지외대어학원,"대구광역시 수성구 고산로 104 , 4층, 5층 (신매동)",35.8399289,128.7050226,2,,,,,,,,,,,,,,,
