사업장명,소재지전체주소,Latitude,Longitude
코인싱어 동성로점,"대구광역시 중구 남일동 65-3번지 지상 2층, 3층 ",35.8697636,128.5944809
락휴 코인노래연습장 동성로점,대구광역시 중구 삼덕동1가 17-23번지 지상3층,35.8673255,128.5973882
더존사이다 동전노래연습장,대구광역시 중구 덕산동 124-22번지 지상2층,35.8665015,128.5947112
뮤 동전노래연습장,대구광역시 중구 삼덕동1가 17-6번지 지하1층~지상1층,35.8673832,128.5966567
아이존팝 동성로2호점,대구광역시 중구 동성로2가 127-2번지 지상5층,35.8683756,128.5946388
뱅노래연습장,대구광역시 중구 삼덕동2가 140-7번지 지상2층,35.8664978,128.6001647
첼로,대구광역시 중구 공평동 59-1번지,35.8683593,128.5986616
미소노래연습장,대구광역시 중구 삼덕동3가 133-2번지,35.8661245,128.6095031
코리아,대구광역시 중구 삼덕동1가 35-2번지,35.8655032,128.59771
엠(M),대구광역시 중구 삼덕동1가 23-6번지,35.8674742,128.5979386
쟁반,대구광역시 중구 삼덕동1가 28-26번지,35.8670564,128.5978435
룰루랄라,대구광역시 중구 삼덕동1가 18-1번지,35.8678553,128.5975937
015비(B),대구광역시 중구 삼덕동1가 17-14번지,35.8673353,128.5975909
킹카,대구광역시 중구 삼덕동1가 17-8번지,35.8674433,128.5970846
금탑,대구광역시 중구 남산동 735-25번지,35.8601326,128.594926
열창,대구광역시 중구 봉산동 135-17번지,35.8627175,128.5978397
원노래연습장,대구광역시 중구 봉산동 23-23번지,35.8663171,128.5973419
타타타,대구광역시 중구 대봉동 55-94번지,35.8598201,128.6012105
목터져라,대구광역시 중구 삼덕동1가 9-5번지,35.8671999,128.5954517
짱2 노래연습장,대구광역시 중구 동성로2가 160-1번지,35.8689862,128.5956533
금아,대구광역시 중구 동인동1가 334-1번지,35.8715051,128.6054425
빅타운,대구광역시 중구 동인동2가 248번지,35.867047,128.6060199
카니발,대구광역시 중구 동인동2가 239번지,35.8677212,128.6061955
태광,대구광역시 중구 동인동4가 4번지,35.8698902,128.6070149
