사업장명,소재지전체주소,Latitude,Longitude
비젼게임랜드,대구광역시 동구 신서동 1188번지,35.8850207,128.7304608
신천지게임랜드,대구광역시 동구 지저동 694-10번지,35.8963229,128.6376457
로또게임랜드,대구광역시 동구 신암동 576-20번지,35.8833041,128.6229185
공항팔공산게임랜드,대구광역시 동구 지저동 684-5번지,35.8962628,128.6399559
새마을게임랜드,대구광역시 동구 신암동 341-1번지,35.8852476,128.6321963
헤라유통,대구광역시 동구 율하동 1117번지 롯데쇼핑프라자,35.86846,128.6934002
푸쉬(push)푸쉬(push)뽑아방,대구광역시 동구 신천동 376-4번지,35.8743466,128.6290156
토이팡팡,대구광역시 동구 율하동 1440번지,35.8633734,128.6956701
효목동뽑기방,대구광역시 동구 효목동 140-4번지,35.8820546,128.6429981
원 오락실,대구광역시 동구 신암동 346-11번지,35.8847132,128.6335355
르네상스게임랜드,대구광역시 동구 검사동 1019-16번지,35.8889828,128.6485556
삼성게임랜드,대구광역시 동구 신암동 364-14번지,35.8845688,128.6337415
신천게임랜드,대구광역시 동구 신천동 338-4번지,35.87186,128.6284898
호박오락실,대구광역시 동구 신천동 313-6번지 2층,35.8687843,128.6290879
방촌게임랜드,대구광역시 동구 방촌동 1090-9번지,35.8804635,128.6670135
터미널오락실,대구광역시 동구 신천동 390-6번지 2층,35.8774342,128.6309647
불로오락실,대구광역시 동구 불로동 444번지 1층,35.9100095,128.6415047
태산게임장,대구광역시 동구 신천동 317-2번지,35.8703556,128.6274614
로얄게임랜드,대구광역시 동구 효목동 957-5번지,35.8850047,128.6339853
뽑고뽑고게임장,대구광역시 동구 율하동 1437번지 107호,35.8632649,128.6966734
뽑고뽑고게임장,대구광역시 동구 효목동 162-12번지,35.881245,128.6433703
또또와,대구광역시 동구 신서동 1148번지,35.8855687,128.7307423
신세계게임랜드,대구광역시 동구 신천동 334-6번지,35.8739626,128.628512
모찌게임장,대구광역시 동구 봉무동 1539-9번지,35.9263636,128.6434628
모여라 뽑동산,대구광역시 동구 봉무동 1539-8번지,35.9263636,128.6434628
뽑스타,대구광역시 동구 율하동 1438번지,35.8632982,128.6963604
짱구게임장,대구광역시 서구 평리동 678-7번지 1층,35.87758,128.5589498
영남오락실,대구광역시 서구 평리동 1492-30번지 3층,35.874951,128.554629
신광게임랜드,대구광역시 서구 비산동 434-566번지 2층,35.8756563,128.5714659
동심,대구광역시 서구 비산동 1246-1번지 1층,35.8880914,128.5633947
칠성게임장,대구광역시 서구 평리동 1492-11번지 2층,35.8747968,128.5546634
레전드 게임랜드,대구광역시 서구 비산동 349-3번지 3층,35.8723487,128.5676138
뽑기방,대구광역시 서구 평리동 1335-6번지 1층,35.8705918,128.5570758
현대게임랜드,대구광역시 서구 평리동 722-13번지 2층,35.8757341,128.5554495
알라딘샵,대구광역시 서구 평리동 620-12번지 1층,35.8753464,128.5531334
짱구게임장,대구광역시 서구 원대동3가 1373-12번지 1층,35.8883206,128.5703362
너부리 모바일,대구광역시 서구 평리동 1492-22번지 1층,35.8744824,128.5546135
짱구게임장,대구광역시 서구 평리동 763-3번지 1층,35.8800099,128.5672255
굿게임랜드,대구광역시 서구 원대동3가 1374-6번지 1층,35.8878507,128.5711702
짱구게임장,대구광역시 서구 비산동 284-4번지 1층,35.8678371,128.5707664
황금게임랜드,대구광역시 서구 비산동 508-8번지 지하 1층,35.8778856,128.5715727
다뽑자,대구광역시 서구 비산동 505-2번지 1층,35.876653,128.5714852
다뽑자,대구광역시 서구 비산동 551-2번지 1층,35.8792191,128.571683
