학원명,학원주소,Latitude,Longitude,,,,,,,,,,,,,,,,
MV-FGA코리아보석학원,대구광역시 중구 공평로10길 60   외1필지 삼덕아이파크 2층 (삼덕동2가),35.8674364,128.6029446,,,,,,,,,,,,,,,,
서울컴퓨터회계학원,"대구광역시 동구 아양로39길 6 , 3층 일부 (신암동)",35.886559,128.6347464,,,,,,,,,,,,,,,,
시지정보처리학원,대구광역시 수성구 신매로19길 34   5층 (신매동),35.8393716,128.7078436,,,,,,,,,,,,,,,,
헤럴드외국어학원,"대구광역시 중구 동성로5길 26 , 3층 301호 (삼덕동1가)",35.8675778,128.5959439,,,,,,,,,,,,,,,,
센트럴1리딩클럽수성시지학원,"대구광역시 수성구 신매로19길 23-1 , 5층 (신매동)",35.83885,128.707642,,,,,,,,,,,,,,,,
성균관학원,"대구광역시 동구 신암로 106-2(신암동), 4층 , (구주소:신암2동 1190-2, 4층) ",35.8791465,128.6103803,,,,,,,,,,,,,,,,
성실음악학원,"대구광역시 중구 남산로7길 75 , 201호 (남산동)",35.8572664,128.5825917,,,,,,,,,,,,,,,,
쥴리아드음악학원,대구광역시 수성구 고산로 121-21 (),35.8418802,128.7036561,,,,,,,,,,,,,,,,
로잔무용학원,대구광역시 수성구 고산로18길 11 (),35.8391614,128.7058714,,,,,,,,,,,,,,,,
고려e스쿨진명학원,"대구광역시 수성구 달구벌대로 3175 , 4층 (매호동)",35.8415384,128.7036808,,,,,,,,,,,,,,,,
올패스(All-pass)학원,"대구광역시 수성구 수성로 412 , 119동 401호 (수성동4가,수성보성타운)",35.8626462,128.6153813,,,,,,,,,,,,,,,,
A.P입시학원,대구광역시 수성구 지범로39길 21   2층 3층 (범물동),35.8207406,128.6423361,,,,,,,,,,,,,,,,
신사고학원,대구광역시 수성구 청호로 297 황금동 4층,35.8439188,128.638467,,,,,,,,,,,,,,,,
걸리버학원,"대구광역시 수성구 상록로 54 , 3층 (범어동)",35.86421,128.6242617,,,,,,,,,,,,,,,,
에바다음악학원,대구광역시 동구 화랑로80길 8  146동 402호(방촌동 우방강촌마을),35.8761299,128.6660569,,,,,,,,,,,,,,,,
영원한미소미술학원,"대구광역시 중구 중앙대로 267 , 2층, 3층 (남산동)",35.8574672,128.5903844,,,,,,,,,,,,,,,,
범어예일외국어학원,"대구광역시 수성구 달구벌대로 2428 ,  4층 (범어동)",35.8585491,128.6414973,,,,,,,,,,,,,,,,
시사SLS외국어학원,"대구광역시 중구 동성로 10-1 , 5층 (동성로3가)",35.8675865,128.5934536,,,,,,,,,,,,,,,,
명문수플러스영수학원,대구광역시 수성구 시지로 50-3   1층 2층 (시지동),35.8394631,128.6936957,,,,,,,,,,,,,,,,
예지원음악학원,대구광역시 수성구 교학로11길 46  301동 303호(만촌동 만촌우방타운상가),35.849245,128.654718,,,,,,,,,,,,,,,,
제3미술학원,"대구광역시 중구 중앙대로 274 , 1층 일부 (남산동)",35.8577291,128.5913916,,,,,,,,,,,,,,,,
수성초암아카데미학원,대구광역시 수성구 달구벌대로504길 32   1층 2층 (범어동),35.8557811,128.6382985,,,,,,,,,,,,,,,,
지스쿨대구학원,"대구광역시 중구 국채보상로 582 , 4층 (남일동)",35.8706908,128.5943907,,,,,,,,,,,,,,,,
수학세상영어세상학원,"대구광역시 수성구 동대구로 249 , 4층 (범어동)",35.8527309,128.6247806,,,,,,,,,,,,,,,,
아벨수학학원,"대구광역시 수성구 지범로 204 , 5층 (범물동)",35.8200073,128.6409159,,,,,,,,,,,,,,,,
새샘학원,"대구광역시 동구 팔공로31길 6-2 , 2층 (불로동)",35.9133083,128.6404887,,,,,,,,,,,,,,,,
모짜르트피아노음악학원,대구광역시 동구 아양로 218 효목동 진로이스트타운 상가 301동 303-307,35.8845461,128.6374686,,,,,,,,,,,,,,,,
하늘피아노음악학원,대구광역시 수성구 달구벌대로649길 22-1 (),35.8400135,128.7131537,,,,,,,,,,,,,,,,
정음악학원,대구광역시 동구 화랑로80길 8   우방강촌마을상가 146동 206호 209호 (방촌동),35.8761299,128.6660569,,,,,,,,,,,,,,,,
다인음악학원,대구광역시 동구 동촌로46길 17   2층 (방촌동),35.8802839,128.6638025,,,,,,,,,,,,,,,,
좋은음악학원,"대구광역시 동구 방천로7길 73 , 2층 (지저동)",35.894984,128.6353442,,,,,,,,,,,,,,,,
권문희미술학원,대구광역시 동구 화랑로80길 8  146동 301호(방촌동 우방강촌마을),35.8761299,128.6660569,,,,,,,,,,,,,,,,
미대편입플러스학원,"대구광역시 중구 봉산문화1길 3 , 2층 (봉산동, 뜨란채고시텔)",35.8625003,128.5976665,,,,,,,,,,,,,,,,
티케무용학원,대구광역시 수성구 명덕로 402 (),35.8542668,128.6139272,,,,,,,,,,,,,,,,
대구스피치화술학원,"대구광역시 중구 중앙대로 394 , 11층 (남일동)",35.8682972,128.594001,,,,,,,,,,,,,,,,
르네상스웹툰만화학원,대구광역시 중구 달구벌대로 2040 남산동,35.8612519,128.5871093,,,,,,,,,,,,,,,,
노블외국어학원,대구광역시 수성구 지범로 59   7층 (지산동),35.8259285,128.6297478,,,,,,,,,,,,,,,,
시지외대어학원,"대구광역시 수성구 고산로 104 , 4층, 5층 (신매동)",35.8399289,128.7050226,,,,,,,,,,,,,,,,
DUP어학원,대구광역시 수성구 청호로 301 황금동 2층,35.8442395,128.6385016,,,,,,,,,,,,,,,,
아시아관광학원,대구광역시 동구 동부로 156 신천동 4층,35.8770396,128.6293946,,,,,,,,,,,,,,,,
스카이스튜디어스학원,"대구광역시 중구 동성로 55-1 , 3~4층 (동성로2가)",35.8720086,128.5955973,,,,,,,,,,,,,,,,
전원음악학원,대구광역시 수성구 신매로6길 8-1 (),35.8334233,128.7086984,,,,,,,,,,,,,,,,
소리샘피아노학원,대구광역시 중구 달구벌대로445길 8-18   2번지 (삼덕동3가),35.8627762,128.6071754,,,,,,,,,,,,,,,,
빨강사과나무음악학원,대구광역시 수성구 천을로 115-11 (매호동),35.8443732,128.7039627,,,,,,,,,,,,,,,,
빛과색미술학원,대구광역시 동구 아양로 218  진로이스트타운상가 303-307 (효목동),35.8845461,128.6374686,,,,,,,,,,,,,,,,
디자인피플미술학원,"대구광역시 수성구 달구벌대로 2455 , 3층 (범어동)",35.8648816,128.6261427,,,,,,,,,,,,,,,,
아뜰리에학원,대구광역시 동구 방촌로 117   2층 (방촌동),35.8829365,128.6651005,,,,,,,,,,,,,,,,
드림코믹스만화학원,대구광역시 중구 명덕로 209   2 (남산동),35.8569248,128.5932878,,,,,,,,,,,,,,,,
테라컴퓨터학원,대구광역시 수성구 달구벌대로 3090   4층 (시지동),35.8461238,128.7006837,,,,,,,,,,,,,,,,
미래네트워크학원,"대구광역시 중구 달구벌대로 2078 , 5층 (남산동)",35.8656254,128.5908745,,,,,,,,,,,,,,,,
엔닷SS수학과학학원,대구광역시 수성구 달구벌대로 2557   3층 (만촌동),35.8593235,128.6424823,,,,,,,,,,,,,,,,
골든키학원,"대구광역시 중구 국채보상로 554-1 , 5층 (종로1가)",35.8707813,128.5915185,,,,,,,,,,,,,,,,
초일류입시학원,대구광역시 수성구 달구벌대로496길 6   2층 (범어동),35.8581225,128.6339063,,,,,,,,,,,,,,,,
베이징중국어학원,대구광역시 중구 달구벌대로 2109-21   3-4층 (덕산동),35.8662974,128.5937788,,,,,,,,,,,,,,,,
단포포일본어학원,대구광역시 중구 공평로 13   4층 (삼덕동1가),35.8682184,128.5958125,,,,,,,,,,,,,,,,
이지-UP입시음악학원,대구광역시 동구 반야월로 401-2   2층 (신서동),35.8719901,128.7326443,,,,,,,,,,,,,,,,
큐티음악학원,대구광역시 수성구 지범로 29길 8 지산동 4층,35.8231628,128.6376998,,,,,,,,,,,,,,,,
조이엘피아노학원,대구광역시 수성구 신매로 21  시지보성서한아파트 상가 105-201 (신매동),35.8382407,128.7052022,,,,,,,,,,,,,,,,
로메오음악학원,대구광역시 수성구 노변공원로 7   2층 (시지동),35.8414025,128.6991798,,,,,,,,,,,,,,,,
아르지앵미술학원,대구광역시 수성구 청수로35길 150  청원맨션상가 1층 1호 (황금동),35.8427732,128.63572,,,,,,,,,,,,,,,,
슈만클라라음악학원,"대구광역시 수성구 청수로 235 , 3층 310-1호 (황금동, 캐슬골드파크 2단지)",35.84194,128.6338591,,,,,,,,,,,,,,,,
메가컴퓨터학원,대구광역시 수성구 달구벌대로647길 20-3   3층 (신매동),35.8405504,128.7116797,,,,,,,,,,,,,,,,
종로엠입시학원,"대구광역시 수성구 달구벌대로 3196 , 3층 일부 (신매동, 대구은행 시지지점)",35.8402193,128.7062412,,,,,,,,,,,,,,,,
수도학원,"대구광역시 동구 아양로49길 2 , 3층 (신암동)",35.8823808,128.6193351,,,,,,,,,,,,,,,,
통문관입시학원,대구광역시 동구 송라로 81   5층 (신천동),35.8742115,128.6175406,,,,,,,,,,,,,,,,
이아이이(EIE)남산어학원,"대구광역시 중구 남산로 35 , 2층 (남산동, 웨딩산호)",35.8596911,128.5823846,,,,,,,,,,,,,,,,
청산학원,대구광역시 수성구 달구벌대로 2489   4층 (범어동),35.8585491,128.6414973,,,,,,,,,,,,,,,,
리틀지니어스외국어학원,대구광역시 중구 동덕로30길 136   외 1필지 1~3층 (삼덕동3가),35.8657502,128.6111478,,,,,,,,,,,,,,,,
동구외대어학원,대구광역시 동구 안심로41길 36   2층 (서호동),35.8693283,128.708647,,,,,,,,,,,,,,,,
명인진학원,대구광역시 수성구 청호로 466   외1필지효성백년가약궁상가동101~103 (범어동),35.8565773,128.6431911,,,,,,,,,,,,,,,,
시지문깡잉한외국어학원,"대구광역시 수성구 고산로18길 3 , 6층 (신매동, 세흥빌딩)",35.839279,128.7050312,,,,,,,,,,,,,,,,
하이스트입시학원,대구광역시 동구 팔공로 168   3층 (불로동),35.9113875,128.6381333,,,,,,,,,,,,,,,,
헤윰수학학원,대구광역시 수성구 달구벌대로 2614   3층 (만촌동),35.858915,128.644821,,,,,,,,,,,,,,,,
잉글리쉬타운영어학원,대구광역시 수성구 지범로 205   4층 (범물동),35.8203376,128.6415106,,,,,,,,,,,,,,,,
오르세음악학원,대구광역시 수성구 범안로2길 3-11   1층 (범물동),35.8168703,128.6393094,,,,,,,,,,,,,,,,
꼬마고호미술학원,"대구광역시 동구 아양로39길 36 , 2층 (신암동)",35.8887341,128.6336883,,,,,,,,,,,,,,,,
흑과백미술학원,"대구광역시 중구 중앙대로 279 (남산동,바로크악기)",35.8582701,128.5909827,,,,,,,,,,,,,,,,
리틀아트미술학원,대구광역시 수성구 신매로6길 2-1   1층 (신매동),35.833566,128.7083422,,,,,,,,,,,,,,,,
계명미술학원,대구광역시 수성구 수성로 34   1층 (상동),35.8383745,128.6129103,,,,,,,,,,,,,,,,
이사벨무용학원,대구광역시 수성구 지범로39길 11-10   2층 (범물동),35.8209487,128.6415211,,,,,,,,,,,,,,,,
명인애견미용학원,"대구광역시 중구 공평로20길 11 , 2층 (동인동1가)",35.871834,128.6015183,,,,,,,,,,,,,,,,
한국문화평생직업학원,"대구광역시 중구 경상감영길 161 , 3, 4층 (동문동)",35.87156,128.5997581,,,,,,,,,,,,,,,,
수성청담외국어학원,"대구광역시 수성구 달구벌대로 2486 , 6~7층 (범어동, 범어골드타워)",35.8584628,128.6345035,,,,,,,,,,,,,,,,
맨투맨스쿨입시학원,대구광역시 수성구 지범로39길 11-9 범물동 3층,35.8208548,128.6412049,,,,,,,,,,,,,,,,
카이영재입시학원,대구광역시 수성구 교학로11길 79   3층 4층 (만촌동),35.8499746,128.6562375,,,,,,,,,,,,,,,,
릴라ET수학입시학원,대구광역시 수성구 범어로16길 40   1층 2층 (범어동),35.8559699,128.6377088,,,,,,,,,,,,,,,,
황막강입시학원,대구광역시 수성구 지범로 175   5층 (지산동),35.821904,128.6390044,,,,,,,,,,,,,,,,
세광입시학원,"대구광역시 수성구 지범로 167 , 13층 (지산동)",35.8223988,128.6383222,,,,,,,,,,,,,,,,
메가팍스어학원,대구광역시 수성구 달구벌대로 3177   5층 일부 (매호동),35.8489989,128.7085559,,,,,,,,,,,,,,,,
범어이주현영어학원,대구광역시 수성구 달구벌대로 2476   3층 (범어동),35.8648816,128.6261427,,,,,,,,,,,,,,,,
샐리스가든어학원,대구광역시 수성구 신천동로88길 46   1층 (수성동4가),35.8615728,128.612698,,,,,,,,,,,,,,,,
엘리트외국어학원,대구광역시 수성구 신매로 88   3층 (신매동),35.8373254,128.7090917,,,,,,,,,,,,,,,,
뉴외국어학원,대구광역시 수성구 달구벌대로 3218   8층 (신매동),35.8375322,128.7154239,,,,,,,,,,,,,,,,
아너스(Honors)클럽외국어학원,대구광역시 수성구 천을로 199   2층 3층 (매호동),35.8422608,128.7121809,,,,,,,,,,,,,,,,
김영대학편입학원,대구광역시 중구 명덕로 203   외2필지 7층 (남산동),35.8570374,128.5925612,,,,,,,,,,,,,,,,
포인트정석속독학원,대구광역시 수성구 달구벌대로 3163   3층 (매호동),35.8500721,128.715272,,,,,,,,,,,,,,,,
바스엔터테인먼트아카데미학원,"대구광역시 중구 국채보상로 530 , 2,4층 (하서동)",35.8690249,128.5939339,,,,,,,,,,,,,,,,
민아뜰리에미술학원,대구광역시 수성구 지범로22길 23  협화아파트 상가 201호 (지산동),35.8211369,128.6359706,,,,,,,,,,,,,,,,
늘푸른음악학원,"대구광역시 수성구 천을로 180 , 109/201 (매호동,매호동서아파트)",35.8420525,128.7101019,,,,,,,,,,,,,,,,
어린음악대수성4가원음악어린화가들수성4가원미술학원,대구광역시 수성구 신천동로88길 46   2층 (수성동4가),35.8615728,128.612698,,,,,,,,,,,,,,,,
동그라미학원,대구광역시 동구 율하동로 101 율하동 신혼빌라 2.3층,35.8686603,128.7015742,,,,,,,,,,,,,,,,
포디텍컴퓨터학원,대구광역시 중구 달구벌대로 1981   외 1필지 3층 (대신동),35.8647434,128.580816,,,,,,,,,,,,,,,,
고산알파학원,"대구광역시 수성구 달구벌대로631길 6 , 2,3층 (매호동)",35.8419496,128.7033535,,,,,,,,,,,,,,,,
권진희국어학원,"대구광역시 수성구 달구벌대로 2575 , 7층 (만촌동)",35.8592437,128.6450242,,,,,,,,,,,,,,,,
골드동강입시학원,대구광역시 동구 안심로41길 12   3층 (서호동),35.8672737,128.7082711,,,,,,,,,,,,,,,,
816입시학원,"대구광역시 수성구 범어천로 128 , 4층 (범어동)",35.8581358,128.622747,,,,,,,,,,,,,,,,
영스어학원,대구광역시 수성구 신천동로88길 46   3층 (수성동4가),35.8615728,128.612698,,,,,,,,,,,,,,,,
시그마엠수학학원,대구광역시 수성구 고산로 121-23   3층 (매호동),35.8419126,128.7035059,,,,,,,,,,,,,,,,
케이투수학학원,"대구광역시 수성구 교학로 46 , 2층 (만촌동)",35.851142,128.6518985,,,,,,,,,,,,,,,,
지산고려학원,대구광역시 수성구 용학로44길 9 (),35.820474,128.6329517,,,,,,,,,,,,,,,,
패럴렉스어학원,"대구광역시 수성구 파동로 253 , 2층  (파동,수성빌딩)",35.8251931,128.6096338,,,,,,,,,,,,,,,,
독학인학원,대구광역시 수성구 지범로 173   4층 (지산동),35.8220446,128.6388218,,,,,,,,,,,,,,,,
탑클래스학원,대구광역시 수성구 수성로 352   5층 (수성동2가),35.8554843,128.615478,,,,,,,,,,,,,,,,
스카이입시학원,"대구광역시 동구 경대로 2 , 2층 (신암동)",35.8819288,128.6122013,,,,,,,,,,,,,,,,
으뜸입시학원,대구광역시 수성구 상화로5길 16 (상동),35.8354465,128.6098162,,,,,,,,,,,,,,,,
세인트피터영어학원,대구광역시 수성구 만촌로 126   3층 (만촌동),35.8699482,128.6414607,,,,,,,,,,,,,,,,
더블라썸영어전문학원,대구광역시 동구 동호로 88  아름다운나날상가 217동 303호 (신서동),35.8657254,128.7270989,,,,,,,,,,,,,,,,
문성멘토학원,대구광역시 수성구 달구벌대로625길 21   대백아파트 상가 201호 (2층) (시지동),35.8441909,128.7003527,,,,,,,,,,,,,,,,
한마루학원,"대구광역시 수성구 달구벌대로504길 40 , 2층 (범어동)",35.854887,128.6382892,,,,,,,,,,,,,,,,
지앤비영어차수학학원,"대구광역시 수성구 신매로 84 , 4층 (신매동)",35.8370164,128.7089185,,,,,,,,,,,,,,,,
동호입시학원,"대구광역시 동구 동호로 69 , 3층 일부(301호, 302호) (동호동, 동호월드타운)",35.8661649,128.7244665,,,,,,,,,,,,,,,,
상위1%영어전문학원,"대구광역시 수성구 유니버시아드로 341 , 5층 (욱수동)",35.8295162,128.7079022,,,,,,,,,,,,,,,,
대구고려학원,"대구광역시 수성구 달구벌대로 2504 , 5층 (범어동)",35.8662494,128.6255355,,,,,,,,,,,,,,,,
김샘지산범물학원,"대구광역시 수성구 용학로 298 , 7층 (범물동)",35.8217216,128.640756,,,,,,,,,,,,,,,,
브레인코칭아카데미학원,대구광역시 중구 명덕로 311-16   1층 2층 (대봉동),35.8559656,128.6063335,,,,,,,,,,,,,,,,
윈스쿨어학원,대구광역시 수성구 청호로 405   1~2층 (범어동),35.8535281,128.638234,,,,,,,,,,,,,,,,
정철영어주니어동호어학원,대구광역시 동구 동호로 79   6층 (신서동),35.8664819,128.7255611,,,,,,,,,,,,,,,,
메이플트리지앤비(Maple Tree gnb)어학원,대구광역시 동구 금강로 17   3층 (신서동),35.8665118,128.7249469,,,,,,,,,,,,,,,,
GnB어학원,대구광역시 수성구 용학로 293   2층 (지산동),35.8218894,128.6402217,,,,,,,,,,,,,,,,
동호이유외국어학원,"대구광역시 동구 동호로5길 13 , 3층,4층일부 (신서동)",35.867382,128.7251663,,,,,,,,,,,,,,,,
키즈킹덤외국어학원,대구광역시 동구 팔공로26길 29   2층 (불로동),35.9097009,128.6439141,,,,,,,,,,,,,,,,
대구법학원,대구광역시 중구 국채보상로 582   미도빌딩 6층 (남일동),35.8706908,128.5943907,,,,,,,,,,,,,,,,
만촌포인트정석속독학원,대구광역시 수성구 화랑로 50  자삼빌딩 7층 (만촌동),35.8703455,128.6335097,,,,,,,,,,,,,,,,
예노을음악학원,대구광역시 수성구 만촌로 100 (),35.867626,128.6423876,,,,,,,,,,,,,,,,
하늘소리음악학원,대구광역시 수성구 동원로 123  메트로팔레스아파트 상가 221/204 (만촌동),35.8708254,128.6358303,,,,,,,,,,,,,,,,
단비음악학원,대구광역시 수성구 화랑로12길 21 (),35.8714262,128.6352259,,,,,,,,,,,,,,,,
예일음악미술학원,대구광역시 동구 동호로 75  동호골든프라자 5층 501호 (신서동),35.8963498,128.6159981,,,,,,,,,,,,,,,,
맨하탄음악학원,대구광역시 수성구 만촌로 144   3층 (만촌동),35.8713555,128.6410545,,,,,,,,,,,,,,,,
아인클랑음악학원,대구광역시 동구 동호로 132  아름다운나날상가 320/203 (신서동),35.8663278,128.7314325,,,,,,,,,,,,,,,,
하늘샘피아노학원,대구광역시 동구 동호로 132  영조아름다운나날상가 320/302 (신서동),35.8663278,128.7314325,,,,,,,,,,,,,,,,
보스턴음악학원,"대구광역시 동구 아양로42길 6 , 3층 (효목동)",35.8857812,128.6367826,,,,,,,,,,,,,,,,
로얄음악학원,대구광역시 수성구 만촌로 120   3층 (만촌동),35.8692508,128.6417673,,,,,,,,,,,,,,,,
꿈꾸는피아니스트음악학원,"대구광역시 동구 효목로 63 , 2층 (효목동)",35.8788308,128.6407537,,,,,,,,,,,,,,,,
몽아트스쿨미술학원,대구광역시 수성구 수성로 400  수성우방팔레스상가 304호 (수성동4가),35.8609929,128.6149437,,,,,,,,,,,,,,,,
리틀즈수성어학원,대구광역시 수성구 달구벌대로458길 36   82-12번지 1층 (수성동1가),35.8581475,128.6125842,,,,,,,,,,,,,,,,
선미술학원,대구광역시 수성구 화랑로 118 (),35.8731344,128.6397566,,,,,,,,,,,,,,,,
가가미술학원,대구광역시 동구 동호로 79   4층 (신서동),35.8664819,128.7255611,,,,,,,,,,,,,,,,
파동소리엘피아노학원,대구광역시 수성구 파동로 82-1   2층 (파동),35.8114597,128.6182627,,,,,,,,,,,,,,,,
스카이미술학원,"대구광역시 수성구 달구벌대로 2672 , 1층 (만촌동)",35.8703682,128.6361845,,,,,,,,,,,,,,,,
천년의미소미술학원,대구광역시 중구 중앙대로 275   1층 2층 (남산동),35.8580416,128.5908902,,,,,,,,,,,,,,,,
YM입시학원,대구광역시 수성구 달구벌대로 2484   외 1필지 2층 3층일부 (범어동),35.8588249,128.630883,,,,,,,,,,,,,,,,
글맥입시학원,"대구광역시 수성구 수성로25길 5 , 3층 (상동,원지빌딩)",35.8372563,128.6114307,,,,,,,,,,,,,,,,
와이즈만영재교육학원,대구광역시 수성구 동대구로 194  우신빌딩 6층 (황금동),35.8477031,128.6253323,,,,,,,,,,,,,,,,
G-math수학전문학원,대구광역시 동구 팔공로101길 53 지묘동 4층,35.9412287,128.6417103,,,,,,,,,,,,,,,,
영산입시학원,대구광역시 수성구 청호로 428   3.4층 (범어동),35.8551934,128.6404937,,,,,,,,,,,,,,,,
시매쓰지산수학학원,"대구광역시 수성구 지범로 53-8 , 5층 (지산동)",35.8264416,128.6284968,,,,,,,,,,,,,,,,
시지와이즈만영재교육학원,대구광역시 수성구 달구벌대로 650길 15 신매동 2층,35.8368776,128.7105964,,,,,,,,,,,,,,,,
