사업장명,소재지전체주소,Latitude,Longitude,가점척도
일통이통동전 노래연습장,대구광역시 서구 평리동 1032-9번지 2층,35.87505,128.5552587,3
88노래연습장,대구광역시 서구 내당동 220-19번지,35.8590063,128.5595834,3
천사노래연습장,대구광역시 서구 비산동 1208-3번지,35.8888239,128.5664499,3
초원노래연습장,대구광역시 서구 내당동 867-2번지,35.86266,128.5724444,3
준노래연습장,대구광역시 서구 평리동 1401-1번지,35.87007,128.5543215,3
산울림노래연습장,대구광역시 서구 비산동 304-4번지 2층,35.8690625,128.5714096,3
태길노래연습장,대구광역시 서구 내당동 950-3번지,35.8668424,128.5706861,3
불꽃노래연습장,대구광역시 서구 평리동 1489-30번지,35.8749341,128.5526444,3
귀빈노래연습장,대구광역시 서구 평리동 636-12번지,35.8748086,128.5503223,3
함지노래연습장,대구광역시 서구 평리동 1192-31번지,35.868022,128.5632821,3
코코노래연습장,대구광역시 서구 비산동 451-14번지,35.8758468,128.5704451,3
엑스트로노래연습장,대구광역시 서구 평리동 1218-4번지 지하1층,35.8708767,128.5595771,3
신바람노래연습장,대구광역시 서구 비산동 930-12번지 지하,35.8863552,128.5631904,3
진주노래연습장,대구광역시 서구 평리동 797-47번지,35.8756994,128.5659843,3
코러스노래연습장,대구광역시 서구 평리동 657-35번지,35.8797936,128.5670268,3
하이트노래연습장,대구광역시 서구 평리동 1046-8번지 1층,35.8756552,128.5650338,3
비젼노래연습장,대구광역시 서구 비산동 328-4번지,35.8715086,128.5708591,3
늘봄노래연습장,대구광역시 서구 평리동 1371-5번지,35.8698518,128.5555225,3
일류노래연습장,대구광역시 서구 평리동 1403-5번지,35.8681008,128.5548836,3
일통이통 7호광장점 동전 노래연습장,대구광역시 서구 내당동 465-1번지 2층,35.8563442,128.5524832,3
엔젤 동전 노래연습장,대구광역시 서구 비산동 1370-8번지 3층,35.8850121,128.5574215,3
풍금노래연습장,대구광역시 서구 평리동 766-5번지,35.8792014,128.5676206,3
0시노래연습장,대구광역시 서구 비산동 391-12번지,35.8730906,128.5713821,3
아싸노래연습장,대구광역시 서구 내당동 219-20번지 2층,35.8592079,128.5604252,3
