사업장명,소재지전체주소,Latitude,Longitude,가점척도
보이스코리아코인노래연습장,대구광역시 중구 삼덕동1가 63-141번지,35.8667119,128.5996901,3
아세아,대구광역시 중구 향촌동 63번지,35.8726159,128.5936329,3
첼로,대구광역시 중구 삼덕동1가 8-4번지,35.8677124,128.5957146,3
요요,대구광역시 중구 달성동 179-12번지,35.8766661,128.5783626,3
코리아,대구광역시 중구 남산동 107-31번지,35.8620475,128.5821129,3
대구,대구광역시 중구 대신동 1028번지,35.8673383,128.5770645,3
성화 노래연습장,대구광역시 중구 향촌동 62-16번지 무궁화백화점 지하1층 23호,35.872258,128.5938395,3
리베,대구광역시 중구 봉산동 35-36번지,35.8659401,128.5957722,3
도깨비 노래연습장,대구광역시 중구 남일동 76-3번지,35.8697193,128.5943144,3
청솔노래연습장,대구광역시 중구 남산동 605-11번지,35.8603679,128.590345,3
만남,대구광역시 중구 공평동 53-10번지,35.8683912,128.5969577,3
향교,대구광역시 중구 남산동 693-8번지,35.8606431,128.5937617,3
대보,대구광역시 중구 향촌동 65-4번지,35.8727049,128.5938683,3
제이가요무대,대구광역시 중구 동성로1가 14-4번지,35.8728394,128.5960143,3
가영노래연습장,대구광역시 동구 검사동 991-40번지,35.8863908,128.650352,3
스타노래연습장,대구광역시 동구 신천동 383-1번지,35.8766183,128.6291277,3
팡팡노래연습장,대구광역시 동구 효목동 548번지,35.8755211,128.6397559,3
만남노래연습장,대구광역시 동구 신암동 648-16번지,35.8908256,128.6241338,3
세림노래연습장,대구광역시 동구 신천동 347-17번지,35.8693668,128.629376,3
화이트노래연습장,대구광역시 동구 용계동 702-49번지,35.8744145,128.6891077,3
이코노노래연습장,대구광역시 동구 방촌동 889-1번지,35.8820144,128.6657506,3
니캉내캉노래연습장,대구광역시 동구 중대동 389번지,35.9773899,128.6302868,3
무지개노래연습장,대구광역시 동구 신천동 539-2번지,35.8743038,128.6151825,3
신바람노래연습장,대구광역시 동구 신천동 275-2번지,35.8736925,128.6189075,3
은하노래연습장,대구광역시 동구 도동 1054-39번지,35.9099632,128.6466073,3
효목노래연습장,대구광역시 동구 효목동 547번지,35.8754219,128.639765,3
일성노래연습장,대구광역시 동구 효목동 962-3번지,35.8856861,128.6353375,3
보금노래연습장,대구광역시 동구 입석동 941-3번지,35.8892784,128.6438639,3
애플노래연습장,대구광역시 동구 지저동 833-15번지,35.8925137,128.6380328,3
동화노래연습장,대구광역시 동구 지저동 669-55번지,35.8972362,128.6377682,3
라이브노래연습장,대구광역시 동구 신천동 825-7번지,35.8684408,128.616053,3
궁전노래연습장,대구광역시 동구 신암동 1192-9번지,35.8792233,128.6110907,3
올인노래연습장,대구광역시 동구 신기동 206-2번지,35.8699006,128.7029747,3
월드노래연습장,대구광역시 동구 효목동 463-2번지,35.8749115,128.6391419,3
부부노래연습장,대구광역시 동구 신암동 134-7번지,35.8883737,128.6297257,3
뮤즈노래연습장,대구광역시 동구 신암동 224-11번지,35.8811829,128.6212672,3
부킹노래연습장,대구광역시 동구 신암동 595-2번지,35.8825499,128.6185334,3
왕노래연습장,대구광역시 동구 효목동 119-40번지,35.8852611,128.640532,3
미소노래방,대구광역시 동구 신암동 607-3번지,35.8836863,128.6190772,3
우리노래연습장,대구광역시 동구 신암동 168-12번지,35.8813252,128.618844,3
스타노래연습장,대구광역시 동구 방촌동 858-23번지,35.8800521,128.6695052,3
스타노래연습장,대구광역시 동구 신암동 1196-4번지,35.8788567,128.6101587,3
아우성노래연습장,대구광역시 동구 신암동 603-154번지,35.8846708,128.6211161,3
